brandKey,brandName,modelKey,modelName,type,minutes
perodua,Perodua,axia,Axia,Sedan,60
perodua,Perodua,bezza,Bezza,Sedan,60
perodua,Perodua,kancil,Kancil,Sedan,60
perodua,Perodua,kelisa,Kelisa,Sedan,60
perodua,Perodua,kenari,Kenari,Sedan,60
perodua,Perodua,myvi,Myvi,Sedan,60
perodua,Perodua,viva,Viva,Sedan,60
perodua,Perodua,ativa,Ativa,SUV,90
perodua,Perodua,aruz,Aruz,SUV,90
perodua,Perodua,kembara,Kembara,SUV,90
perodua,Perodua,traz,Traz,SUV,90
perodua,Perodua,alza,Alza,MPV,120

proton,Proton,emas_5,e.MAS 5,Sedan,60
proton,Proton,gen_2,Gen-2,Sedan,60
proton,Proton,saga,Saga,Sedan,60
proton,Proton,inspira,Inspira,Sedan,60
proton,Proton,iriz,Iriz,Sedan,60
proton,Proton,perdana,Perdana,Sedan,60
proton,Proton,persona,Persona,Sedan,60
proton,Proton,preve,Preve,Sedan,60
proton,Proton,s70,S70,Sedan,60
proton,Proton,satria,Satria,Sedan,60
proton,Proton,suprima_s,Suprima S,Sedan,60
proton,Proton,waja,Waja,Sedan,60
proton,Proton,wira,Wira,Sedan,60
proton,Proton,emas_7,e.MAS 7,SUV,90
proton,Proton,x50,X50,SUV,90
proton,Proton,x70,X70,SUV,90
proton,Proton,x90,X90,SUV,90
proton,Proton,ertiga,Ertiga,MPV,120
proton,Proton,exora,Exora,MPV,120

toyota,Toyota,camry,Camry,Sedan,60
toyota,Toyota,corolla_altis,Corolla Altis,Sedan,60
toyota,Toyota,corolla_sport,Corolla Sport,Sedan,60
toyota,Toyota,crown,Crown,Sedan,60
toyota,Toyota,mark_x,Mark X,Sedan,60
toyota,Toyota,prius,Prius,Sedan,60
toyota,Toyota,vios,Vios,Sedan,60
toyota,Toyota,yaris,Yaris,Sedan,60
toyota,Toyota,c_hr,C-HR,SUV,90
toyota,Toyota,corolla_cross,Corolla Cross,SUV,90
toyota,Toyota,crown_sport,Crown Sport,SUV,90
toyota,Toyota,fj_cruiser,FJ Cruiser,SUV,90
toyota,Toyota,fortuner,Fortuner,SUV,90
toyota,Toyota,harrier,Harrier,SUV,90
toyota,Toyota,hilux,Hilux,SUV,90
toyota,Toyota,land_cruiser,Land Cruiser,SUV,90
toyota,Toyota,land_cruiser_prado,Land Cruiser Prado,SUV,90
toyota,Toyota,rav4,RAV4,SUV,90
toyota,Toyota,rush,Rush,SUV,90
toyota,Toyota,alphard,Alphard,MPV,120
toyota,Toyota,avanza,Avanza,MPV,120
toyota,Toyota,estima,Estima,MPV,120
toyota,Toyota,granace,Granace,MPV,120
toyota,Toyota,innova,Innova,MPV,120
toyota,Toyota,noah,Noah,MPV,120
toyota,Toyota,roomy,Roomy,MPV,120
toyota,Toyota,sienta,Sienta,MPV,120
toyota,Toyota,tank,Tank,MPV,120
toyota,Toyota,vellfire,Vellfire,MPV,120
toyota,Toyota,veloz,Veloz,MPV,120
toyota,Toyota,voxy,Voxy,MPV,120
toyota,Toyota,wish,Wish,MPV,120

honda,Honda,accord,Accord,Sedan,60
honda,Honda,city,City,Sedan,60
honda,Honda,civic,Civic,Sedan,60
honda,Honda,cr_z,CR-Z,Sedan,60
honda,Honda,insight,Insight,Sedan,60
honda,Honda,jazz,Jazz,Sedan,60
honda,Honda,br_v,BR-V,SUV,90
honda,Honda,cr_v,CR-V,SUV,90
honda,Honda,hr_v,HR-V,SUV,90
honda,Honda,wr_v,WR-V,SUV,90
honda,Honda,freed,Freed,MPV,120
honda,Honda,odyssey,Odyssey,MPV,120
honda,Honda,step_wgn,Step WGN,MPV,120
honda,Honda,stream,Stream,MPV,120

nissan,Nissan,almera,Almera,Sedan,60
nissan,Nissan,sentra,Sentra,Sedan,60
nissan,Nissan,sylphy,Sylphy,Sedan,60
nissan,Nissan,teana,Teana,Sedan,60
nissan,Nissan,navara,Navara,SUV,90
nissan,Nissan,x_trail,X-Trail,SUV,90
nissan,Nissan,kicks,Kicks,SUV,90
nissan,Nissan,elgrand,Elgrand,MPV,120
nissan,Nissan,grand_livina,Grand Livina,MPV,120
nissan,Nissan,serena,Serena,MPV,120

mazda,Mazda,2,Mazda 2,Sedan,60
mazda,Mazda,3,Mazda 3,Sedan,60
mazda,Mazda,6,Mazda 6,Sedan,60
mazda,Mazda,cx_3,CX-3,SUV,90
mazda,Mazda,cx_5,CX-5,SUV,90
mazda,Mazda,cx_8,CX-8,SUV,90
mazda,Mazda,cx_9,CX-9,SUV,90
mazda,Mazda,cx_30,CX-30,SUV,90
mazda,Mazda,cx_60,CX-60,SUV,90
mazda,Mazda,5,Mazda 5,MPV,120
mazda,Mazda,8,Mazda 8,MPV,120
mazda,Mazda,Biante,Biante,MPV,120

mitsubishi,Mitsubishi,attrage,Attrage,Sedan,60
mitsubishi,Mitsubishi,lancer,Lancer,Sedan,60
mitsubishi,Mitsubishi,mirage,Mirage,Sedan,60
mitsubishi,Mitsubishi,asx,ASX,SUV,90
mitsubishi,Mitsubishi,outlander,Outlander,SUV,90
mitsubishi,Mitsubishi,pajero_sport,Pajero Sport,SUV,90
mitsubishi,Mitsubishi,triton,Triton,SUV,90
mitsubishi,Mitsubishi,grandis,Grandis,MPV,120
mitsubishi,Mitsubishi,xpander,Xpander,MPV,120

hyundai,Hyundai,elantra,Elantra,Sedan,60
hyundai,Hyundai,ioniq,Ioniq,Sedan,60
hyundai,Hyundai,sonata,Sonata,Sedan,60
hyundai,Hyundai,veloster,Veloster,Sedan,60
hyundai,Hyundai,kona,Kona,SUV,90
hyundai,Hyundai,santa_fe,Santa Fe,SUV,90
hyundai,Hyundai,tucson,Tucson,SUV,90
hyundai,Hyundai,grand_starex,Grand Starex,MPV,120
hyundai,Hyundai,staria,Staria,MPV,120

kia,Kia,cerato,Cerato,Sedan,60
kia,Kia,forte,Forte,Sedan,60
kia,Kia,optima_k5,Optima K5,Sedan,60
kia,Kia,picanto,Picanto,Sedan,60
kia,Kia,rio,Rio,Sedan,60
kia,Kia,sonet,Sonet,SUV,90
kia,Kia,sorento,Sorento,SUV,90
kia,Kia,sportage,Sportage,SUV,90
kia,Kia,carnival,Carnival,MPV,120
kia,Kia,grand_carnival,Grand Carnival,MPV,120

mercedes_benz,Mercedes-Benz,a_class,A-Class,Sedan,60
mercedes_benz,Mercedes-Benz,b_class,B-Class,Sedan,60
